STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,ROBBERY,THEFT,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,41,199,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,16,366,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,14,723,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,4,173,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,25,1021,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,2,162,287
ANDHRA PRADESH,GUNTUR,2001,182,54,82,59,1122,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,67,2792,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,50,392,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,13,368,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,36,15,478,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,47,22,297,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,27,316,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,26,286,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,27,28,318,5002
ANDHRA PRADESH,NELLORE,2001,89,46,90,16,608,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,22,234,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,14,278,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,78,1296,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,10,296,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,4,231,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,27,2057,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,265,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,3,165,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,5,630,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,2,144,2178
ANDHRA PRADESH,WARANGAL,2001,158,53,81,23,418,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,15,1116,5696
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,629,16751,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,4,24,163
